
Rho     Fit     CLR     CF
    0.50 10646.01  114.377   84.446
    0.50  9948.52   25.929 -179.181
    0.50 10042.30   54.476 -157.747
    0.60 11971.63    0.000 -346.270
    0.60  9641.53    0.000 -168.241
    0.60  9760.84    0.000  -20.943
    0.60 12540.91    0.000   -8.647
    0.50  9337.04    7.423 -146.452
    0.60 10919.95    0.000   15.586
    0.60 10534.74    0.000   27.336
    0.60 10362.57    0.000 -138.385
    0.40 10631.84  122.416 -321.486
    0.50 10413.39   54.665  -87.469
    0.60 10984.02    0.000  -63.947
    0.50 10500.12   49.399  -13.333
    0.70 12718.39   88.783  -14.450
    0.50 11520.87   71.935  -72.635
    0.80 13957.36  126.020  -17.908
    0.50  9801.83   70.534 -150.469
    0.60 13628.39    0.000 -165.312
    0.50  9702.39  138.029  -27.020
    0.70 12480.61   80.258  -29.500
    0.60  9781.14    0.000 -157.842
    0.50  9846.38   68.065 -122.361
    0.70 12284.97    8.319  -36.578
    0.50  9927.98   65.734  207.260
    0.70 12117.85   73.053  144.028
    0.50 10362.31    7.503  -68.972
    0.50 10334.65   89.696 -236.820
    0.50 10022.81   63.887  130.441
    0.50  9897.02   40.991 -145.832
    0.60 11440.39    0.000 -123.126
    0.50 11073.15   22.896   93.415
    0.60  8907.47    0.000   41.760
    0.60 13004.58    0.000  -87.542
    0.50  9775.00    4.307   45.589
    0.50  9982.40    5.839 -218.034
    0.60 10545.13    0.000  -82.256
    0.50 10294.02   31.760  -74.434
    0.60 10546.41    0.000  -70.077
    0.60 10331.35    0.000 -194.010
    0.60  9761.21    0.000  136.114
    0.60 11242.19    0.000  -32.178
    0.60 11542.91    0.000  168.650
    0.60 10549.84    0.000 -187.210
    0.60 10867.97    0.000 -131.801
    0.50 10138.57   34.173 -187.636
    0.50  9710.70   37.367   59.199
    0.60 10342.29    0.000   20.081
    0.60  9402.53    0.000  -24.984
    0.60  9520.55    0.000   64.260
    0.50 10507.62   22.322   18.958
    0.60 10385.55    0.000  -51.195
    0.60 12131.19    0.000   23.860
    0.60 11085.23    0.000 -106.530
    0.50 11288.83  101.480  -93.325
    0.70 11545.74   11.630   10.469
    0.60  9734.29    0.000 -178.998
    0.50  9641.77   26.460  -12.730
    0.60 10349.71    0.000 -188.630
    0.40 10163.25  234.427  -67.311
    0.60 10315.50    0.000 -159.818
    0.50  9690.62   37.905 -227.362
    0.50  9930.03    7.259  -84.400
    0.60 10436.60    0.000  -99.460
    0.60 10283.39    0.000 -106.713
    0.60 10654.76    0.000 -211.660
    0.60 12446.11    0.000  -83.198
    0.60  9081.87    0.000  -77.754
    0.60  9686.22    0.000   43.019
    0.50  9587.11   42.307   -9.633
    0.60 11062.68    0.000  -28.081
    0.60 10294.52    0.000  109.714
    0.60 10076.49    0.000   22.359
    0.50  9934.71    3.163 -254.741
    0.60 10327.97    0.000  -54.606
    0.60 10685.34    0.000  103.152
    0.70 13171.47   74.951   26.660
    0.70 10819.03   51.104  -50.361
    0.60 10092.47    0.000    5.896
    0.60 10228.72    0.000  -63.779
    0.60 14063.55    0.000  116.514
    0.70 12456.98   26.015   33.009
    0.50  9717.71   64.343  -54.999
    0.60 11810.09    0.000   37.065
    0.60 10873.33    0.000 -109.159
    0.60 10371.54    0.000  -39.536
    0.50 10054.75   18.360 -207.265
    0.60 10815.95    0.000  -47.752
    0.60 10992.41    0.000  199.892
    0.60 11155.72    0.000   69.594
    0.50  9292.38   78.133  -27.295
    0.50 11430.21   44.367  206.134
    0.80 14320.22  294.957 -105.318
    0.50 10802.31   33.811 -188.027
    0.60 10011.03    0.000 -170.973
    0.60 10637.73    0.000  119.606
    0.50 11310.83   11.096 -182.889
    0.50 11731.69   61.197   46.296
    0.60 10367.63    0.000  209.442
    0.60 12090.19    0.000  -71.110
    0.60 12022.81    0.000   52.423
    0.60  9332.90    0.000 -324.190
    0.60 10888.43    0.000  -14.479
    0.60 11499.34    0.000   -0.197
    0.70 12405.72   11.079   43.843
    0.60  9372.97    0.000  143.867
    0.60 11567.09    0.000   -3.492
    0.70 12170.82    4.435 -119.356
    0.60 10001.22    0.000 -147.834
    0.50 11242.44   63.743    6.228
    0.50  9853.94   48.634  -35.800
    0.60 11798.59    0.000   29.060
    0.50 10540.89   86.333 -244.763
    0.50  9891.71   13.503  112.758
    0.60 11439.94    0.000 -391.409
    0.60  9612.19    0.000   17.854
    0.50 10307.90  118.355  -17.125
    0.60 10382.73    0.000  -12.915
    0.60 11023.84    0.000 -233.425
    0.60 14650.94    0.000  201.136
    0.50  9993.80    5.860 -118.302
